,bus_score,date,gmap_score,hystreet_score,index,nationalExpress_score,national_score,regional_score,suburban_score,zug_score
106,,2020-03-20,,,07332,,,1.0,1.0,1.0
107,,2020-03-20,,,07339,1.0,0.9333333333333333,0.9972196478220574,1.0,0.9969064191802011
108,,2020-03-20,,0.5236022267238142,08111,,,,,
109,,2020-03-20,,,08117,,0.9333333333333333,0.7686868686868686,,0.7711442786069652
110,,2020-03-20,,,08118,1.0,0.9615384615384616,0.9452830188679245,1.0,0.9794281729428173
111,,2020-03-20,,,08119,,1.0,1.0,0.9817460317460317,0.9859841560024375
112,,2020-03-20,,0.6607894497863563,08121,,,0.9647058823529412,1.0,0.9786476868327402
113,,2020-03-20,,,08125,,,0.9669421487603306,1.0,0.9918740477399696
114,,2020-03-20,,,08127,,0.8666666666666667,0.9966216216216216,,0.9903536977491961
115,,2020-03-20,,,08128,,,1.0,,1.0
116,,2020-03-20,,,08136,,0.8666666666666667,0.9631284916201117,,0.9585106382978723
117,,2020-03-20,,0.6311296232999213,08212,0.8026315789473684,0.8484848484848485,0.9895287958115183,0.9719350073855244,0.9631849315068494
118,,2020-03-20,,,08215,1.0,0.9230769230769231,0.9465930018416207,0.9906367041198502,0.975045648204504
119,,2020-03-20,,0.4994879218253949,08221,0.8666666666666667,0.9268292682926829,0.9854014598540146,1.0,0.9941956882255389
120,,2020-03-20,,0.6839111815487675,08222,,,,,
121,,2020-03-20,,,08235,,,0.7537154989384289,,0.7537154989384289
122,,2020-03-20,,,08237,,0.5142857142857142,0.9642857142857143,1.0,0.9393305439330544
123,,2020-03-20,,0.4340136647563815,08311,0.8431372549019608,0.4285714285714286,0.7894736842105263,0.9058084772370487,0.8792270531400966
124,,2020-03-20,,,08326,,1.0,0.9333333333333333,0.908256880733945,0.9302030456852792
125,,2020-03-20,,,08327,,0.673469387755102,0.9396092362344582,,0.9183006535947712
126,,2020-03-20,,,08335,,0.5862068965517242,0.8920386007237635,1.0,0.8853754940711462
127,,2020-03-20,,,08336,,1.0,0.9960880195599022,,0.9960899315738025
128,,2020-03-20,,0.8068757776682627,08415,,,,,
129,,2020-03-20,,,08416,,1.0,0.9093333333333333,1.0,0.9116883116883117
130,,2020-03-20,,0.8374556902338677,08421,0.8666666666666667,0.9642857142857143,0.9388753056234719,,0.9336099585062241
131,,2020-03-20,,0.9367728882144664,08426,,,,,
132,,2020-03-20,,,08435,,,1.0,,1.0
133,,2020-03-20,,,08436,,,0.9954545454545455,,0.9954545454545455
134,,2020-03-20,,,08437,,,0.9734848484848485,,0.9734848484848485
135,,2020-03-20,,0.6167942630249365,09161,0.9152542372881356,,0.9806949806949807,,0.9685534591194969
136,,2020-03-20,,0.40174870585811373,09162,,,,,
137,,2020-03-20,,,09172,1.0,0.9333333333333333,0.7640449438202247,0.9854368932038835,0.9198717948717948
138,,2020-03-20,,,09181,,,0.9718614718614719,0.888888888888889,0.9631782945736435
139,1.0,2020-03-20,,,09189,1.0,0.9375,0.9863013698630136,,0.9818181818181818
140,,2020-03-20,,,09190,0.0,,1.0,,0.9968354430379747
141,,2020-03-20,,,09261,,,1.0,,1.0
142,,2020-03-20,,0.4158652844970636,09262,,,,,
143,,2020-03-20,,,09263,1.0,1.0,0.9920634920634921,,0.9923076923076923
144,,2020-03-20,,,09363,,,1.0,,1.0
145,,2020-03-20,,,09376,,,1.0,,1.0
146,,2020-03-20,,0.5320074347744678,09461,0.8484848484848485,1.0,0.9883040935672515,1.0,0.9694323144104804
147,,2020-03-20,,,09462,,,0.9754098360655737,,0.9754098360655737
148,,2020-03-20,,,09472,,,0.994535519125683,,0.994535519125683
149,,2020-03-20,,,09478,,1.0,0.9904761904761905,,0.9905482041587902
150,,2020-03-20,,,09561,,0.7777777777777778,1.0,1.0,0.9689922480620154
151,,2020-03-20,,0.574993173183317,09562,,,,,
152,,2020-03-20,,,09563,,1.0,0.9961538461538462,1.0,0.9973753280839895
